season,week,method,phi,center_type,center_val,sample_count
8,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
8,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
8,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
8,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
8,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
8,10,Percent_Convex,N/A (Convex),N/A,N/A,2000
9,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
9,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
9,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
9,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
9,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
9,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
9,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
9,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
9,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
10,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
10,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
10,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
10,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
10,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
10,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
10,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
10,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
11,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
11,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
11,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
11,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
11,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
11,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
11,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
11,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
11,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
12,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
12,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
12,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
12,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
12,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
12,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
12,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
12,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
13,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
13,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
13,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
13,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
13,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
13,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
13,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
13,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
13,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
14,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
14,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
14,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
14,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
14,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
14,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
14,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
14,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
15,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
15,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
15,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
15,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
15,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
15,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
15,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
16,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
16,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
16,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
16,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
16,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
16,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
16,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
16,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
16,10,Percent_Convex,N/A (Convex),N/A,N/A,2000
17,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
17,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
17,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
17,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
17,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
17,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
17,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
17,10,Percent_Convex,N/A (Convex),N/A,N/A,2000
17,11,Percent_Convex,N/A (Convex),N/A,N/A,2000
18,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
18,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
18,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
18,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
18,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
18,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
18,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
18,10,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,10,Percent_Convex,N/A (Convex),N/A,N/A,2000
19,11,Percent_Convex,N/A (Convex),N/A,N/A,2000
20,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
20,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
20,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
20,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
20,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
20,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
20,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
20,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
21,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
21,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
21,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
21,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
21,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
21,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
21,11,Percent_Convex,N/A (Convex),N/A,N/A,2000
22,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
22,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
22,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
22,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
22,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
22,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
22,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
23,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
23,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
23,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
23,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
23,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
23,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
23,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
23,10,Percent_Convex,N/A (Convex),N/A,N/A,2000
23,11,Percent_Convex,N/A (Convex),N/A,N/A,2000
24,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
24,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
24,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
24,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
24,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
24,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
24,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
24,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
25,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
25,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
25,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
25,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
25,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
25,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
25,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
25,10,Percent_Convex,N/A (Convex),N/A,N/A,2000
26,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
26,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
26,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
27,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
27,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
27,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
27,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
27,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
27,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
27,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
28,2,Rank_Strict,1.0,Judge,"[ 3, 0, 1, 4, 5, 6,11, 2, 8, 9, 7,10]",667
28,4,Rank_Strict,2.0,Judge,"[0,1,6,5,7,3,9,2,4,8]",135201
28,6,Rank_Strict,2.0,Reverse,"[5,7,0,6,1,3,4,2,8]",97262
28,7,Rank_Strict,2.0,Judge,"[0,3,1,5,6,4,2,7]",876
28,8,Rank_Strict,2.0,Judge,"[2,1,0,4,3,5,6]",832
28,9,Rank_Strict,2.0,Judge,"[0,3,2,1,4,5]",138441
28,10,Rank_Strict,2.0,Judge,"[0,2,4,1,3]",136901
29,2,Rank_Strict,2.0,Judge,"[ 4, 7,14,13,12, 6, 3, 5, 1, 0,10,11, 2, 8, 9]",13747
29,3,Rank_Strict,2.0,Judge,"[ 7,12,13, 3, 4, 8, 0, 9, 2, 6,10, 1,11, 5]",135947
29,4,Rank_Strict,2.0,Judge,"[ 3,10, 7,11, 9, 2, 6, 1, 4,12, 5, 0, 8]",2000
29,5,Rank_Strict,2.0,Judge,"[ 7,10, 4,11, 0, 5, 1, 2, 6, 3, 8, 9]",127135
29,6,Rank_Strict,2.0,Judge,"[ 0, 7, 5, 8, 3, 2, 1, 6, 4,10, 9]",13548
29,7,Rank_Strict,2.0,Judge,"[5,6,7,1,4,8,9,3,0,2]",13511
29,8,Rank_Strict,1.0,Judge,"[4,5,0,2,3,7,1,6]",1330
29,9,Rank_Strict,2.0,Judge,"[5,0,4,1,6,3,2]",14069
29,10,Rank_Strict,2.0,Reverse,"[3,2,0,5,1,4]",256
30,2,Rank_Strict,2.0,Judge,"[ 0,11, 8,10,12, 9, 1, 6,14,13, 2, 4, 7, 5, 3]",134642
30,3,Rank_Strict,0.1,Judge,"[ 0,11, 7,13,12,10, 1, 6, 9, 4, 3, 5, 2, 8]",3278
30,4,Rank_Strict,2.0,Judge,"[ 3,12,10, 8, 6, 1, 9,11, 5, 0, 7, 2, 4]",134879
30,5,Rank_Strict,0.1,Judge,"[ 1, 9,10, 7, 0, 2, 3, 4, 8, 5, 6]",2000
30,6,Rank_Strict,2.0,Judge,"[3,4,0,2,1,9,7,8,5,6]",118989
30,7,Rank_Strict,2.0,Judge,"[5,4,6,2,1,3,8,0,7]",98648
30,8,Rank_Strict,2.0,Judge,"[0,4,6,7,3,1,5,2]",11383
30,9,Rank_Strict,1.0,Judge,"[1,5,2,0,4,3]",2000
31,1,Rank_Strict,2.0,Judge,"[ 0,10, 5, 3, 7,14,11, 6, 8,13, 4, 2,12, 9,15, 1]",13488
31,2,Rank_Strict,2.0,Judge,"[ 0,14, 4, 1, 7,11, 9,12,10, 5, 6,13, 3, 8, 2]",13438
31,3,Rank_Strict,2.0,Judge,"[ 0,12, 4, 1, 3,10, 7, 6,11, 8, 5, 9,13, 2]",13478
31,4,Rank_Strict,2.0,Judge,"[ 0, 8, 1, 3, 7, 4,11,12, 5, 6,10, 9, 2]",136408
31,5,Rank_Strict,0.1,Judge,"[ 0,10, 1, 4, 6, 8, 9, 3, 5, 7,11, 2]",2000
31,6,Rank_Strict,2.0,Judge,"[0,4,1,2,8,5,3,6,9,7]",11124
31,7,Rank_Strict,2.0,Judge,"[0,4,5,6,7,3,1,8,2]",11070
31,8,Rank_Strict,2.0,Judge,"[0,5,3,6,2,4,7,1]",111151
31,9,Rank_Strict,2.0,Judge,"[0,4,1,2,5,3]",115085
32,1,Rank_Strict,2.0,Judge,"[ 5,10, 1, 7, 0,11, 8, 2, 3,12, 9, 6,13, 4]",11762
32,2,Rank_Strict,2.0,Reverse,"[10, 5, 4,11, 3, 9, 8, 0, 2,12, 6, 7, 1]",82936
32,3,Rank_Strict,2.0,Judge,"[10, 7, 0, 6, 2, 8, 1, 4, 9, 5,11, 3]",116719
32,4,Rank_Strict,2.0,Reverse,"[ 5,10, 1, 9, 3, 7, 2, 4, 8, 6, 0]",184
32,5,Rank_Strict,2.0,Judge,"[8,6,3,0,9,2,5,4,7,1]",651
32,6,Rank_Strict,1.0,Judge,"[7,1,6,3,8,2,4,5,0]",609
32,7,Rank_Strict,2.0,Reverse,"[5,0,6,3,7,4,2,1]",91013
32,8,Rank_Strict,2.0,Judge,"[3,0,4,2,6,5,1]",721
32,9,Rank_Strict,2.0,Judge,"[4,3,2,5,0,1]",109629
33,2,Rank_Strict,1.0,Judge,"[10, 8, 0, 4, 1,12, 6, 7, 3, 5,11, 2, 9]",553
33,3,Rank_Strict,2.0,Judge,"[ 4, 1, 5, 8, 9, 7, 2, 0, 6,10, 3]",111439
33,4,Rank_Strict,1.0,Reverse,"[7,3,0,8,5,4,1,6,2]",94
33,5,Rank_Strict,2.0,Judge,"[0,3,5,1,4,2,6,7]",11367
33,6,Rank_Strict,0.5,Judge,"[0,5,3,6,2,1,4]",1592
33,7,Rank_Strict,2.0,Judge,"[0,4,5,3,1,2]",111961
34,2,Rank_Strict,2.0,Judge,"[ 3,12,10,13, 8, 9, 6, 2, 4, 7, 5, 1,11, 0]",645
34,3,Rank_Strict,2.0,Judge,"[ 3,10, 8, 2, 7, 6, 9, 0,11, 4, 5, 1]",90070
34,4,Rank_Strict,0.1,Judge,"[ 1,10, 9, 6, 3, 4, 5, 2, 7, 8, 0]",2767
34,6,Rank_Strict,2.0,Judge,"[5,9,3,7,2,6,0,4,8,1]",10737
34,7,Rank_Strict,2.0,Judge,"[0,8,5,4,7,6,3,2,1]",723
34,8,Rank_Strict,2.0,Judge,"[2,7,6,3,5,1,4,0]",10829
34,9,Rank_Strict,2.0,Judge,"[3,6,0,5,4,1,2]",102664
34,10,Rank_Strict,0.5,Judge,"[1,5,3,4,0,2]",2000
