season,week,celebrity_name,ori_results,parsed_results,age,industry,partner,weekly_raw_score,effective_score,is_accumulated,exit_mode,final_rank,exit_week_parsed,judge_metric
1,6,Kelly Monaco,1st Place,1st Place,29,Actor/Actress,Alec Mazo,27.5,27.5,False,final,1.0,6,1.0
1,1,Rachel Hunter,Eliminated Week 4,Eliminated Week 4,35,Model,Jonathan Roberts,20.0,20.0,False,eliminated,4.0,4,1.0
1,2,Rachel Hunter,Eliminated Week 4,Eliminated Week 4,35,Model,Jonathan Roberts,24.0,44.0,True,eliminated,4.0,4,2.0
1,3,Rachel Hunter,Eliminated Week 4,Eliminated Week 4,35,Model,Jonathan Roberts,26.0,26.0,False,eliminated,4.0,4,1.0
1,4,Rachel Hunter,Eliminated Week 4,Eliminated Week 4,35,Model,Jonathan Roberts,25.0,25.0,False,eliminated,4.0,4,2.0
1,1,Trista Sutter,Eliminated Week 2,Eliminated Week 2,32,TV Personality,Louis van Amstel,18.0,18.0,False,eliminated,6.0,2,4.0
1,2,Trista Sutter,Eliminated Week 2,Eliminated Week 2,32,TV Personality,Louis van Amstel,19.0,37.0,True,eliminated,6.0,2,4.0
2,1,Drew Lachey,1st Place,1st Place,29,Singer/Rapper,Cheryl Burke,24.0,24.0,False,final,1.0,8,1.0
2,2,Drew Lachey,1st Place,1st Place,29,Singer/Rapper,Cheryl Burke,27.0,27.0,False,final,1.0,8,2.0
2,3,Drew Lachey,1st Place,1st Place,29,Singer/Rapper,Cheryl Burke,27.0,27.0,False,final,1.0,8,1.0
2,4,Drew Lachey,1st Place,1st Place,29,Singer/Rapper,Cheryl Burke,28.0,28.0,False,final,1.0,8,1.0
2,5,Drew Lachey,1st Place,1st Place,29,Singer/Rapper,Cheryl Burke,27.0,27.0,False,final,1.0,8,2.0
2,6,Drew Lachey,1st Place,1st Place,29,Singer/Rapper,Cheryl Burke,30.0,30.0,False,final,1.0,8,1.0
2,7,Drew Lachey,1st Place,1st Place,29,Singer/Rapper,Cheryl Burke,27.5,27.5,False,final,1.0,8,1.0
2,8,Drew Lachey,1st Place,1st Place,29,Singer/Rapper,Cheryl Burke,28.9998,28.9998,False,final,1.0,8,1.0
2,1,George Hamilton,Eliminated Week 6,Eliminated Week 6,66,Actor/Actress,Edyta Sliwinska,18.0,18.0,False,eliminated,5.0,6,8.0
2,2,George Hamilton,Eliminated Week 6,Eliminated Week 6,66,Actor/Actress,Edyta Sliwinska,22.0,22.0,False,eliminated,5.0,6,5.0
2,3,George Hamilton,Eliminated Week 6,Eliminated Week 6,66,Actor/Actress,Edyta Sliwinska,22.0,22.0,False,eliminated,5.0,6,5.0
2,4,George Hamilton,Eliminated Week 6,Eliminated Week 6,66,Actor/Actress,Edyta Sliwinska,21.0,21.0,False,eliminated,5.0,6,6.0
2,5,George Hamilton,Eliminated Week 6,Eliminated Week 6,66,Actor/Actress,Edyta Sliwinska,24.0,24.0,False,eliminated,5.0,6,4.0
2,6,George Hamilton,Eliminated Week 6,Eliminated Week 6,66,Actor/Actress,Edyta Sliwinska,23.0,23.0,False,eliminated,5.0,6,4.0
2,1,Giselle Fernandez,Eliminated Week 3,Eliminated Week 3,44,News Anchor,Jonathan Roberts,23.0,23.0,False,eliminated,8.0,3,2.0
2,2,Giselle Fernandez,Eliminated Week 3,Eliminated Week 3,44,News Anchor,Jonathan Roberts,24.0,24.0,False,eliminated,8.0,3,3.0
2,3,Giselle Fernandez,Eliminated Week 3,Eliminated Week 3,44,News Anchor,Jonathan Roberts,22.0,22.0,False,eliminated,8.0,3,5.0
2,1,Jerry Rice,2nd Place,2nd Place,43,Athlete,Anna Trebunskaya,21.0,21.0,False,final,2.0,8,5.0
2,2,Jerry Rice,2nd Place,2nd Place,43,Athlete,Anna Trebunskaya,23.0,23.0,False,final,2.0,8,4.0
2,3,Jerry Rice,2nd Place,2nd Place,43,Athlete,Anna Trebunskaya,19.0,19.0,False,final,2.0,8,7.0
2,4,Jerry Rice,2nd Place,2nd Place,43,Athlete,Anna Trebunskaya,24.0,24.0,False,final,2.0,8,5.0
2,5,Jerry Rice,2nd Place,2nd Place,43,Athlete,Anna Trebunskaya,23.0,23.0,False,final,2.0,8,5.0
2,6,Jerry Rice,2nd Place,2nd Place,43,Athlete,Anna Trebunskaya,23.0,23.0,False,final,2.0,8,4.0
2,7,Jerry Rice,2nd Place,2nd Place,43,Athlete,Anna Trebunskaya,20.5,20.5,False,final,2.0,8,4.0
2,8,Jerry Rice,2nd Place,2nd Place,43,Athlete,Anna Trebunskaya,26.666600000000003,26.666600000000003,False,final,2.0,8,3.0
2,1,Kenny Mayne,Eliminated Week 1,Eliminated Week 1,46,Sports Broadcaster,Andrea Hale,13.0,13.0,False,eliminated,10.0,1,9.0
2,1,Lisa Rinna,Eliminated Week 7,Eliminated Week 7,42,Actor/Actress,Louis van Amstel,19.0,19.0,False,eliminated,4.0,7,7.0
2,2,Lisa Rinna,Eliminated Week 7,Eliminated Week 7,42,Actor/Actress,Louis van Amstel,20.0,20.0,False,eliminated,4.0,7,7.0
2,3,Lisa Rinna,Eliminated Week 7,Eliminated Week 7,42,Actor/Actress,Louis van Amstel,25.0,25.0,False,eliminated,4.0,7,4.0
2,4,Lisa Rinna,Eliminated Week 7,Eliminated Week 7,42,Actor/Actress,Louis van Amstel,26.0,26.0,False,eliminated,4.0,7,2.0
2,5,Lisa Rinna,Eliminated Week 7,Eliminated Week 7,42,Actor/Actress,Louis van Amstel,25.0,25.0,False,eliminated,4.0,7,3.0
2,6,Lisa Rinna,Eliminated Week 7,Eliminated Week 7,42,Actor/Actress,Louis van Amstel,27.0,27.0,False,eliminated,4.0,7,3.0
2,7,Lisa Rinna,Eliminated Week 7,Eliminated Week 7,42,Actor/Actress,Louis van Amstel,26.5,26.5,False,eliminated,4.0,7,3.0
2,1,Master P,Eliminated Week 4,Eliminated Week 4,35,Singer/Rapper,Ashly DelGrosso,12.0,12.0,False,eliminated,7.0,4,10.0
2,2,Master P,Eliminated Week 4,Eliminated Week 4,35,Singer/Rapper,Ashly DelGrosso,16.0,16.0,False,eliminated,7.0,4,9.0
2,3,Master P,Eliminated Week 4,Eliminated Week 4,35,Singer/Rapper,Ashly DelGrosso,14.0,14.0,False,eliminated,7.0,4,8.0
2,4,Master P,Eliminated Week 4,Eliminated Week 4,35,Singer/Rapper,Ashly DelGrosso,8.0,8.0,False,eliminated,7.0,4,7.0
2,1,Stacy Keibler,3rd Place,3rd Place,26,Athlete,Tony Dovolani,22.0,22.0,False,final,3.0,8,4.0
2,2,Stacy Keibler,3rd Place,3rd Place,26,Athlete,Tony Dovolani,29.0,29.0,False,final,3.0,8,1.0
2,3,Stacy Keibler,3rd Place,3rd Place,26,Athlete,Tony Dovolani,27.0,27.0,False,final,3.0,8,1.0
2,4,Stacy Keibler,3rd Place,3rd Place,26,Athlete,Tony Dovolani,26.0,26.0,False,final,3.0,8,2.0
2,5,Stacy Keibler,3rd Place,3rd Place,26,Athlete,Tony Dovolani,30.0,30.0,False,final,3.0,8,1.0
2,6,Stacy Keibler,3rd Place,3rd Place,26,Athlete,Tony Dovolani,30.0,30.0,False,final,3.0,8,1.0
2,7,Stacy Keibler,3rd Place,3rd Place,26,Athlete,Tony Dovolani,27.5,27.5,False,final,3.0,8,1.0
2,8,Stacy Keibler,3rd Place,3rd Place,26,Athlete,Tony Dovolani,28.6665,28.6665,False,final,3.0,8,2.0
2,1,Tatum O'Neal,Eliminated Week 2,Eliminated Week 2,42,Actor/Actress,Nick Kosovich,23.0,23.0,False,eliminated,9.0,2,2.0
2,2,Tatum O'Neal,Eliminated Week 2,Eliminated Week 2,42,Actor/Actress,Nick Kosovich,17.0,17.0,False,eliminated,9.0,2,8.0
2,1,Tia Carrere,Eliminated Week 5,Eliminated Week 5,39,Actor/Actress,Maksim Chmerkoskiy,20.0,20.0,False,eliminated,6.0,5,6.0
2,2,Tia Carrere,Eliminated Week 5,Eliminated Week 5,39,Actor/Actress,Maksim Chmerkoskiy,22.0,22.0,False,eliminated,6.0,5,5.0
2,3,Tia Carrere,Eliminated Week 5,Eliminated Week 5,39,Actor/Actress,Maksim Chmerkoskiy,26.0,26.0,False,eliminated,6.0,5,3.0
2,4,Tia Carrere,Eliminated Week 5,Eliminated Week 5,39,Actor/Actress,Maksim Chmerkoskiy,25.0,25.0,False,eliminated,6.0,5,4.0
2,5,Tia Carrere,Eliminated Week 5,Eliminated Week 5,39,Actor/Actress,Maksim Chmerkoskiy,22.0,22.0,False,eliminated,6.0,5,6.0
3,1,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,24.0,24.0,False,final,1.0,10,0.11320754716981132
3,2,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,24.0,24.0,False,final,1.0,10,0.10434782608695652
3,3,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,19.0,19.0,False,final,1.0,10,0.09178743961352658
3,4,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,24.0,24.0,False,final,1.0,10,0.12121212121212122
3,5,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,27.0,27.0,False,final,1.0,10,0.14917127071823205
3,6,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,25.0,25.0,False,final,1.0,10,0.211864406779661
3,7,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,28.5,53.5,True,final,1.0,10,0.2111111111111111
3,8,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,27.0,27.0,False,final,1.0,10,0.24770642201834864
3,9,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,29.5,29.5,False,final,1.0,10,0.3333333333333333
3,10,Emmitt Smith,1st Place,1st Place,37,Athlete,Cheryl Burke,29.666600000000003,29.666600000000003,False,final,1.0,10,0.5
3,1,Harry Hamlin,Eliminated Week 3,Eliminated Week 3,54,Actor/Actress,Ashly DelGrosso,17.0,17.0,False,eliminated,9.0,3,0.08018867924528301
3,2,Harry Hamlin,Eliminated Week 3,Eliminated Week 3,54,Actor/Actress,Ashly DelGrosso,21.0,21.0,False,eliminated,9.0,3,0.09130434782608696
3,3,Harry Hamlin,Eliminated Week 3,Eliminated Week 3,54,Actor/Actress,Ashly DelGrosso,22.0,22.0,False,eliminated,9.0,3,0.10628019323671498
3,1,Jerry Springer,Eliminated Week 7,Eliminated Week 7,62,TV Personality,Kym Johnson,16.0,16.0,False,eliminated,5.0,7,0.07547169811320754
3,2,Jerry Springer,Eliminated Week 7,Eliminated Week 7,62,TV Personality,Kym Johnson,19.0,19.0,False,eliminated,5.0,7,0.08260869565217391
3,3,Jerry Springer,Eliminated Week 7,Eliminated Week 7,62,TV Personality,Kym Johnson,21.0,21.0,False,eliminated,5.0,7,0.10144927536231885
3,4,Jerry Springer,Eliminated Week 7,Eliminated Week 7,62,TV Personality,Kym Johnson,22.0,22.0,False,eliminated,5.0,7,0.1111111111111111
3,5,Jerry Springer,Eliminated Week 7,Eliminated Week 7,62,TV Personality,Kym Johnson,24.0,24.0,False,eliminated,5.0,7,0.13259668508287292
3,6,Jerry Springer,Eliminated Week 7,Eliminated Week 7,62,TV Personality,Kym Johnson,18.0,18.0,False,eliminated,5.0,7,0.15254237288135594
3,7,Jerry Springer,Eliminated Week 7,Eliminated Week 7,62,TV Personality,Kym Johnson,23.0,41.0,True,eliminated,5.0,7,0.17037037037037037
3,1,Joey Lawrence,3rd Place,Eliminated Week 9,30,Actor/Actress,Edyta Sliwinska,21.0,21.0,False,eliminated,3.0,9,0.09905660377358491
3,2,Joey Lawrence,3rd Place,Eliminated Week 9,30,Actor/Actress,Edyta Sliwinska,29.0,29.0,False,eliminated,3.0,9,0.12608695652173912
3,3,Joey Lawrence,3rd Place,Eliminated Week 9,30,Actor/Actress,Edyta Sliwinska,22.0,22.0,False,eliminated,3.0,9,0.10628019323671498
3,4,Joey Lawrence,3rd Place,Eliminated Week 9,30,Actor/Actress,Edyta Sliwinska,27.0,27.0,False,eliminated,3.0,9,0.13636363636363635
3,5,Joey Lawrence,3rd Place,Eliminated Week 9,30,Actor/Actress,Edyta Sliwinska,25.0,25.0,False,eliminated,3.0,9,0.13812154696132597
3,6,Joey Lawrence,3rd Place,Eliminated Week 9,30,Actor/Actress,Edyta Sliwinska,24.0,24.0,False,eliminated,3.0,9,0.2033898305084746
3,7,Joey Lawrence,3rd Place,Eliminated Week 9,30,Actor/Actress,Edyta Sliwinska,28.5,52.5,True,eliminated,3.0,9,0.2111111111111111
3,8,Joey Lawrence,3rd Place,Eliminated Week 9,30,Actor/Actress,Edyta Sliwinska,27.0,27.0,False,eliminated,3.0,9,0.24770642201834864
3,9,Joey Lawrence,3rd Place,Eliminated Week 9,30,Actor/Actress,Edyta Sliwinska,29.5,29.5,False,eliminated,3.0,9,0.3333333333333333
3,1,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,26.0,26.0,False,final,2.0,10,0.12264150943396226
3,2,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,21.0,21.0,False,final,2.0,10,0.09130434782608696
3,3,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,22.0,22.0,False,final,2.0,10,0.10628019323671498
3,4,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,29.0,29.0,False,final,2.0,10,0.14646464646464646
3,5,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,27.0,27.0,False,final,2.0,10,0.14917127071823205
3,6,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,28.0,28.0,False,final,2.0,10,0.23728813559322035
3,7,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,28.0,56.0,True,final,2.0,10,0.2074074074074074
3,8,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,28.5,28.5,False,final,2.0,10,0.26146788990825687
3,9,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,29.5,29.5,False,final,2.0,10,0.3333333333333333
3,10,Mario Lopez,2nd Place,2nd Place,32,Actor/Actress,Karina Smirnoff,29.666600000000003,29.666600000000003,False,final,2.0,10,0.5
3,1,Monique Coleman,Eliminated Week 8,Eliminated Week 8,25,Actor/Actress,Louis van Amstel,19.0,19.0,False,eliminated,4.0,8,0.08962264150943396
3,2,Monique Coleman,Eliminated Week 8,Eliminated Week 8,25,Actor/Actress,Louis van Amstel,26.0,26.0,False,eliminated,4.0,8,0.11304347826086956
3,3,Monique Coleman,Eliminated Week 8,Eliminated Week 8,25,Actor/Actress,Louis van Amstel,27.0,27.0,False,eliminated,4.0,8,0.13043478260869565
3,4,Monique Coleman,Eliminated Week 8,Eliminated Week 8,25,Actor/Actress,Louis van Amstel,24.0,24.0,False,eliminated,4.0,8,0.12121212121212122
3,5,Monique Coleman,Eliminated Week 8,Eliminated Week 8,25,Actor/Actress,Louis van Amstel,27.0,27.0,False,eliminated,4.0,8,0.14917127071823205
3,6,Monique Coleman,Eliminated Week 8,Eliminated Week 8,25,Actor/Actress,Louis van Amstel,23.0,23.0,False,eliminated,4.0,8,0.19491525423728814
3,7,Monique Coleman,Eliminated Week 8,Eliminated Week 8,25,Actor/Actress,Louis van Amstel,27.0,50.0,True,eliminated,4.0,8,0.2
3,8,Monique Coleman,Eliminated Week 8,Eliminated Week 8,25,Actor/Actress,Louis van Amstel,26.5,26.5,False,eliminated,4.0,8,0.24311926605504589
3,1,Sara Evans,Withdrew,Withdrew Week 5,35,Singer/Rapper,Tony Dovolani,15.0,15.0,False,withdrew,6.0,5,0.07075471698113207
3,2,Sara Evans,Withdrew,Withdrew Week 5,35,Singer/Rapper,Tony Dovolani,21.0,21.0,False,withdrew,6.0,5,0.09130434782608696
3,3,Sara Evans,Withdrew,Withdrew Week 5,35,Singer/Rapper,Tony Dovolani,25.0,25.0,False,withdrew,6.0,5,0.12077294685990338
3,4,Sara Evans,Withdrew,Withdrew Week 5,35,Singer/Rapper,Tony Dovolani,20.0,20.0,False,withdrew,6.0,5,0.10101010101010101
3,5,Sara Evans,Withdrew,Withdrew Week 5,35,Singer/Rapper,Tony Dovolani,24.0,24.0,False,withdrew,6.0,5,0.13259668508287292
3,1,Shanna Moakler,Eliminated Week 2,Eliminated Week 2,31,Model,Jesse DeSoto,18.0,18.0,False,eliminated,10.0,2,0.08490566037735849
3,2,Shanna Moakler,Eliminated Week 2,Eliminated Week 2,31,Model,Jesse DeSoto,22.0,22.0,False,eliminated,10.0,2,0.09565217391304348
3,1,Tucker Carlson,Eliminated Week 1,Eliminated Week 1,37,TV Personality,Elena Grinenko,12.0,12.0,False,eliminated,11.0,1,0.05660377358490566
3,1,Vivica A. Fox,Eliminated Week 4,Eliminated Week 4,42,Actor/Actress,Nick Kosovich,22.0,22.0,False,eliminated,8.0,4,0.10377358490566038
3,2,Vivica A. Fox,Eliminated Week 4,Eliminated Week 4,42,Actor/Actress,Nick Kosovich,24.0,24.0,False,eliminated,8.0,4,0.10434782608695652
3,3,Vivica A. Fox,Eliminated Week 4,Eliminated Week 4,42,Actor/Actress,Nick Kosovich,27.0,27.0,False,eliminated,8.0,4,0.13043478260869565
3,4,Vivica A. Fox,Eliminated Week 4,Eliminated Week 4,42,Actor/Actress,Nick Kosovich,24.0,24.0,False,eliminated,8.0,4,0.12121212121212122
3,1,Willa Ford,Eliminated Week 5,Eliminated Week 5,25,Singer/Rapper,Maksim Chmerkoskiy,22.0,22.0,False,eliminated,6.0,5,0.10377358490566038
3,2,Willa Ford,Eliminated Week 5,Eliminated Week 5,25,Singer/Rapper,Maksim Chmerkoskiy,23.0,23.0,False,eliminated,6.0,5,0.1
3,3,Willa Ford,Eliminated Week 5,Eliminated Week 5,25,Singer/Rapper,Maksim Chmerkoskiy,22.0,22.0,False,eliminated,6.0,5,0.10628019323671498
3,4,Willa Ford,Eliminated Week 5,Eliminated Week 5,25,Singer/Rapper,Maksim Chmerkoskiy,28.0,28.0,False,eliminated,6.0,5,0.1414141414141414
3,5,Willa Ford,Eliminated Week 5,Eliminated Week 5,25,Singer/Rapper,Maksim Chmerkoskiy,27.0,27.0,False,eliminated,6.0,5,0.14917127071823205
4,1,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,21.0,21.0,False,final,1.0,10,0.10194174757281553
4,2,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,26.0,47.0,True,final,1.0,10,0.10612244897959183
4,3,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,23.0,23.0,False,final,1.0,10,0.10550458715596331
4,4,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,26.0,26.0,False,final,1.0,10,0.1368421052631579
4,5,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,30.0,30.0,False,final,1.0,10,0.17045454545454544
4,6,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,28.0,28.0,False,final,1.0,10,0.16470588235294117
4,7,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,27.0,27.0,False,final,1.0,10,0.17475728155339806
4,8,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,29.0,29.0,False,final,1.0,10,0.23107569721115537
4,9,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,29.5,29.5,False,final,1.0,10,0.2489451476793249
4,10,Apolo Anton Ohno,1st Place,1st Place,24,Athlete,Julianne Hough,29.3332,29.3332,False,final,1.0,10,0.33976850076853665
4,1,Billy Ray Cyrus,Eliminated Week 8,Eliminated Week 8,45,Singer/Rapper,Karina Smirnoff,13.0,13.0,False,eliminated,5.0,8,0.06310679611650485
4,2,Billy Ray Cyrus,Eliminated Week 8,Eliminated Week 8,45,Singer/Rapper,Karina Smirnoff,21.0,34.0,True,eliminated,5.0,8,0.08571428571428572
4,3,Billy Ray Cyrus,Eliminated Week 8,Eliminated Week 8,45,Singer/Rapper,Karina Smirnoff,21.0,21.0,False,eliminated,5.0,8,0.0963302752293578
4,4,Billy Ray Cyrus,Eliminated Week 8,Eliminated Week 8,45,Singer/Rapper,Karina Smirnoff,21.0,21.0,False,eliminated,5.0,8,0.11052631578947368
4,5,Billy Ray Cyrus,Eliminated Week 8,Eliminated Week 8,45,Singer/Rapper,Karina Smirnoff,17.0,17.0,False,eliminated,5.0,8,0.09659090909090909
4,6,Billy Ray Cyrus,Eliminated Week 8,Eliminated Week 8,45,Singer/Rapper,Karina Smirnoff,21.0,21.0,False,eliminated,5.0,8,0.12352941176470589
4,7,Billy Ray Cyrus,Eliminated Week 8,Eliminated Week 8,45,Singer/Rapper,Karina Smirnoff,19.0,19.0,False,eliminated,5.0,8,0.12297734627831715
4,8,Billy Ray Cyrus,Eliminated Week 8,Eliminated Week 8,45,Singer/Rapper,Karina Smirnoff,19.0,19.0,False,eliminated,5.0,8,0.15139442231075698
4,1,Clyde Drexler,Eliminated Week 5,Eliminated Week 5,44,Athlete,Elena Grinenko,16.0,16.0,False,eliminated,8.0,5,0.07766990291262135
4,2,Clyde Drexler,Eliminated Week 5,Eliminated Week 5,44,Athlete,Elena Grinenko,18.0,34.0,True,eliminated,8.0,5,0.07346938775510205
4,3,Clyde Drexler,Eliminated Week 5,Eliminated Week 5,44,Athlete,Elena Grinenko,16.0,16.0,False,eliminated,8.0,5,0.07339449541284404
4,4,Clyde Drexler,Eliminated Week 5,Eliminated Week 5,44,Athlete,Elena Grinenko,15.0,15.0,False,eliminated,8.0,5,0.07894736842105263
4,5,Clyde Drexler,Eliminated Week 5,Eliminated Week 5,44,Athlete,Elena Grinenko,13.0,13.0,False,eliminated,8.0,5,0.07386363636363637
4,1,Heather Mills,Eliminated Week 6,Eliminated Week 6,39,Model,Jonathan Roberts,18.0,18.0,False,eliminated,7.0,6,0.08737864077669903
4,2,Heather Mills,Eliminated Week 6,Eliminated Week 6,39,Model,Jonathan Roberts,24.0,42.0,True,eliminated,7.0,6,0.09795918367346938
4,3,Heather Mills,Eliminated Week 6,Eliminated Week 6,39,Model,Jonathan Roberts,24.0,24.0,False,eliminated,7.0,6,0.11009174311926606
4,4,Heather Mills,Eliminated Week 6,Eliminated Week 6,39,Model,Jonathan Roberts,23.0,23.0,False,eliminated,7.0,6,0.12105263157894737
4,5,Heather Mills,Eliminated Week 6,Eliminated Week 6,39,Model,Jonathan Roberts,21.0,21.0,False,eliminated,7.0,6,0.11931818181818182
4,6,Heather Mills,Eliminated Week 6,Eliminated Week 6,39,Model,Jonathan Roberts,23.0,23.0,False,eliminated,7.0,6,0.13529411764705881
4,1,Ian Ziering,Eliminated Week 9,Eliminated Week 9,42,Actor/Actress,Cheryl Burke,21.0,21.0,False,eliminated,4.0,9,0.10194174757281553
4,2,Ian Ziering,Eliminated Week 9,Eliminated Week 9,42,Actor/Actress,Cheryl Burke,22.0,43.0,True,eliminated,4.0,9,0.08979591836734693
4,3,Ian Ziering,Eliminated Week 9,Eliminated Week 9,42,Actor/Actress,Cheryl Burke,24.0,24.0,False,eliminated,4.0,9,0.11009174311926606
4,4,Ian Ziering,Eliminated Week 9,Eliminated Week 9,42,Actor/Actress,Cheryl Burke,24.0,24.0,False,eliminated,4.0,9,0.12631578947368421
4,5,Ian Ziering,Eliminated Week 9,Eliminated Week 9,42,Actor/Actress,Cheryl Burke,24.0,24.0,False,eliminated,4.0,9,0.13636363636363635
4,6,Ian Ziering,Eliminated Week 9,Eliminated Week 9,42,Actor/Actress,Cheryl Burke,24.0,24.0,False,eliminated,4.0,9,0.1411764705882353
4,7,Ian Ziering,Eliminated Week 9,Eliminated Week 9,42,Actor/Actress,Cheryl Burke,27.0,27.0,False,eliminated,4.0,9,0.17475728155339806
4,8,Ian Ziering,Eliminated Week 9,Eliminated Week 9,42,Actor/Actress,Cheryl Burke,23.5,23.5,False,eliminated,4.0,9,0.18725099601593626
4,9,Ian Ziering,Eliminated Week 9,Eliminated Week 9,42,Actor/Actress,Cheryl Burke,29.0,29.0,False,eliminated,4.0,9,0.24472573839662448
4,1,Joey Fatone,2nd Place,2nd Place,30,Singer/Rapper,Kym Johnson,24.0,24.0,False,final,2.0,10,0.11650485436893204
4,2,Joey Fatone,2nd Place,2nd Place,30,Singer/Rapper,Kym Johnson,24.0,48.0,True,final,2.0,10,0.09795918367346938
4,3,Joey Fatone,2nd Place,2nd Place,30,Singer/Rapper,Kym Johnson,24.0,24.0,False,final,2.0,10,0.11009174311926606
4,4,Joey Fatone,2nd Place,2nd Place,30,Singer/Rapper,Kym Johnson,28.0,28.0,False,final,2.0,10,0.14736842105263157
4,5,Joey Fatone,2nd Place,2nd Place,30,Singer/Rapper,Kym Johnson,25.0,25.0,False,final,2.0,10,0.14204545454545456
4,6,Joey Fatone,2nd Place,2nd Place,30,Singer/Rapper,Kym Johnson,27.0,27.0,False,final,2.0,10,0.1588235294117647
